label,tier_domain,domain,domain_restrictions
Apparel,1,1,
Plant,1,2,
Animal,1,3,
Art,1,4,
Paper,1,5,
Pattern,1,6,
Cushion,1,7,
Home Decor,1,8,
Toy,1,9,
Chess,1,10,
Ball,1,11,
Balloon,1,12,
Baby,2,1,
Child,2,1,
Kid,2,1,
Teen,2,1,
Female,2,1,
Fruit,2,2,
Tree,2,2,
Flower,2,2,
Leaf,2,2,
Mammal,2,3,
Bird,2,3,
Fish,2,3,
Drawing,2,4,
Graphics,2,4,
Brochure,2,5,
Poster,2,5,
Flyer,2,5,
Fractal,2,6,
Embroidery,2,6,
Paisley,2,6,
Pillow,2,7,
Linen,2,8,
Pineapple,3,2,
Vegetable,3,2,
Conifer,3,2,
Cherry Blossom,3,2,
Rose,3,2,
Geranium,3,2,
Hibiscus,3,2,
Carnation,3,2,
Antelope,3,3,
Deer,3,3,
Flock,3,3,
Vulture,3,3,
Doodle,3,4,
Floral Design,3,4,
Accessory,3,1,
Footwear,3,1,
Clothing,3,1,
Apron,4,1,Accessory
Bag,4,1,Accessory
Belt,4,1,Accessory
Bib,4,1,Accessory
Bow,4,1,Accessory
Glove,4,1,Accessory
Sash,4,1,Accessory
Scarf,4,1,Accessory
Sunglasses,4,1,Accessory
Suspenders,4,1,Accessory
Jewelry,4,1,Accessory
Hat,4,1,Accessory
Helmet,4,1,Accessory
Tie,4,1,Accessory
Diaper,4,1,Accessory
Shoe,4,1,Footwear
Sandal,4,1,Footwear
Swimwear,4,1,Clothing
Sock,4,1,Clothing
Cape,4,1,Clothing
Cardigan,4,1,Clothing
Cloak,4,1,Clothing
Coat,4,1,Clothing
Costume,4,1,Clothing
Dress,4,1,Clothing
Gown,4,1,Clothing
Jacket,4,1,Clothing
Kilt,4,1,Clothing
Linen,4,1,Clothing
Pajamas,4,1,Clothing
Pants,4,1,Clothing
Robe,4,1,Clothing
Shirt,4,1,Clothing
Blouse,4,1,Clothing
Shorts,4,1,Clothing
Skirt,4,1,Clothing
Suit,4,1,Clothing
Sweater,4,1,Clothing
Sweatshirt,4,1,Clothing
Tank Top,4,1,Clothing
T-Shirt,4,1,Clothing
Underwear,4,1,Clothing
Undershirt,4,1,Clothing
Vest,4,1,Clothing
Handbag,5,1,Bag
Necklace,5,1,Jewelry
Bracelet,5,1,Jewelry
Cap,5,1,Hat
Hardhat,5,1,Helmet
Crash Helmet,5,1,Helmet
Necktie,5,1,Tie
Overcoat,5,1,Coat
Lab Coat,5,1,Coat
Raincoat,5,1,Coat
Evening Dress,5,1,Dress
Wedding,5,1,Gown
Blazer,5,1,Jacket
Jeans,5,1,Pants
Kimono,5,1,Robe
Dress Shirt,5,1,Shirt
Miniskirt,5,1,Skirt
Hoodie,5,1,Sweatshirt
Lingerie,5,1,Underwear
Plaid,6,1,
Texture,6,1,
Baseball Cap,6,1,Cap
Polka Dot,7,1,
Camouflage,7,1,
Denim,7,1,
Tartan,7,1,
